name,upi_id
Vivaan Rathore,vivaan.rathore379@upi
Navya Rathore,navya.rathore633@upi
Kiara Yadav,kiara.yadav911@upi
Saanvi Mishra,saanvi.mishra811@upi
Arjun Kumar,arjun.kumar932@upi
Ira Mishra,ira.mishra871@upi
Reyansh Kapoor,reyansh.kapoor107@upi
Myra Patel,myra.patel578@upi
Aditya Kapoor,aditya.kapoor141@upi
Sai Nair,sai.nair445@upi
Vivaan Gupta,vivaan.gupta497@upi
Reyansh Pandey,reyansh.pandey625@upi
Reyansh Jain,reyansh.jain967@upi
Aditya Gupta,aditya.gupta247@upi
Saanvi Chowdhury,saanvi.chowdhury514@upi
Arjun Joshi,arjun.joshi473@upi
Aarohi Mehta,aarohi.mehta285@upi
Ishaan Jain,ishaan.jain669@upi
Saanvi Reddy,saanvi.reddy819@upi
Navya Nair,navya.nair796@upi
Anika Gupta,anika.gupta604@upi
Arjun Nair,arjun.nair251@upi
Krishna Gupta,krishna.gupta393@upi
Myra Yadav,myra.yadav596@upi
Aditya Yadav,aditya.yadav511@upi
Kiara Patel,kiara.patel355@upi
Arjun Nair,arjun.nair859@upi
Arjun Singh,arjun.singh557@upi
Aarav Reddy,aarav.reddy878@upi
Meera Mehta,meera.mehta480@upi
Aditya Patel,aditya.patel906@upi
Anika Rathore,anika.rathore951@upi
Sai Das,sai.das450@upi
Arjun Chowdhury,arjun.chowdhury892@upi
Anaya Pandey,anaya.pandey199@upi
Aarav Kapoor,aarav.kapoor259@upi
Vivaan Chowdhury,vivaan.chowdhury986@upi
Sai Patel,sai.patel172@upi
Saanvi Verma,saanvi.verma311@upi
Kiara Mehta,kiara.mehta669@upi
Reyansh Reddy,reyansh.reddy502@upi
Anaya Joshi,anaya.joshi972@upi
Aarohi Kapoor,aarohi.kapoor380@upi
Arjun Mehta,arjun.mehta104@upi
Diya Gupta,diya.gupta516@upi
Diya Kumar,diya.kumar509@upi
Myra Kumar,myra.kumar276@upi
Myra Jain,myra.jain218@upi
Diya Mishra,diya.mishra430@upi
Krishna Mishra,krishna.mishra398@upi
Anaya Chowdhury,anaya.chowdhury921@upi
Meera Das,meera.das626@upi
Shaurya Patel,shaurya.patel154@upi
Ira Patel,ira.patel107@upi
Ira Kapoor,ira.kapoor679@upi
Vihaan Jain,vihaan.jain849@upi
Vivaan Sharma,vivaan.sharma535@upi
Sai Kapoor,sai.kapoor219@upi
Kiara Sharma,kiara.sharma370@upi
Kiara Joshi,kiara.joshi781@upi
Saanvi Joshi,saanvi.joshi994@upi
Aarohi Yadav,aarohi.yadav812@upi
Krishna Verma,krishna.verma565@upi
Ira Pandey,ira.pandey184@upi
Anaya Thakur,anaya.thakur287@upi
Navya Mehta,navya.mehta456@upi
Aarav Verma,aarav.verma703@upi
Navya Chowdhury,navya.chowdhury598@upi
Diya Thakur,diya.thakur309@upi
Aarohi Kapoor,aarohi.kapoor227@upi
Reyansh Singh,reyansh.singh100@upi
Anika Joshi,anika.joshi147@upi
Meera Joshi,meera.joshi335@upi
Saanvi Chowdhury,saanvi.chowdhury340@upi
Aditya Patel,aditya.patel159@upi
Saanvi Yadav,saanvi.yadav481@upi
Vivaan Sharma,vivaan.sharma643@upi
Myra Joshi,myra.joshi190@upi
Vihaan Sharma,vihaan.sharma183@upi
Arjun Roy,arjun.roy552@upi
Anaya Patel,anaya.patel104@upi
Arjun Yadav,arjun.yadav457@upi
Ira Kapoor,ira.kapoor680@upi
Arjun Yadav,arjun.yadav288@upi
Aarav Nair,aarav.nair246@upi
Ishaan Mehta,ishaan.mehta901@upi
Arjun Nair,arjun.nair446@upi
Saanvi Mehta,saanvi.mehta903@upi
Shaurya Sharma,shaurya.sharma589@upi
Shaurya Joshi,shaurya.joshi254@upi
Myra Chowdhury,myra.chowdhury727@upi
Diya Sharma,diya.sharma483@upi
Sai Sharma,sai.sharma595@upi
Meera Mehta,meera.mehta820@upi
Ishaan Roy,ishaan.roy940@upi
Sai Chowdhury,sai.chowdhury234@upi
Aarav Singh,aarav.singh805@upi
Diya Das,diya.das270@upi
Ishaan Verma,ishaan.verma185@upi
Ira Pandey,ira.pandey228@upi
